#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,1,TRUE,5,98750,0,99,0,11,1,0,stevens,Jessica,USA,01/01/0001,,1,47200,10,0,0,E1,77,0,2,1,1,1,2,3,4,3,4,2,
22,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,2,TRUE,11,52320,0,99,0,3,1,0,GOMES,Alice,BRA,01/01/0001,,1,46245,10,0,0,E2,83,1,0,2,0,2,0,2,2,4,3,1,
23,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,2,TRUE,11,52320,0,99,0,3,1,0,GOMES,Alice,BRA,01/01/0001,,1,46245,10,0,0,E3,88,1,0,2,0,1,0,2,1,3,2,0,
24,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,2,TRUE,11,52320,0,99,0,3,1,0,GOMES,Alice,BRA,01/01/0001,,1,46245,10,0,0,E4,88,0,0,1,0,1,0,2,2,3,2,1,
25,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,2,TRUE,11,52320,0,99,0,3,1,0,GOMES,Alice,BRA,01/01/0001,,1,46245,10,0,0,E5,90,1,0,1,0,1,0,1,1,3,1,1,
26,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,2,TRUE,11,52320,0,99,0,3,1,0,GOMES,Alice,BRA,01/01/0001,,1,46245,10,0,0,E8,89,0,1,0,1,0,1,1,1,3,2,1,
27,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,2,TRUE,11,52320,0,99,0,3,1,0,GOMES,Alice,BRA,01/01/0001,,1,46245,10,0,0,E∑,174,2,0,3,0,2,0,4,3,6,4,2,0
28,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,2,TRUE,11,52320,0,99,0,3,1,0,GOMES,Alice,BRA,01/01/0001,,1,46245,10,0,0,T,15745,,,,,,,,,,,,
29,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,2,TRUE,11,52320,0,99,0,3,1,0,GOMES,Alice,BRA,01/01/0001,,1,46245,10,0,0,D,37,0,,,,,,,,,,,
30,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,2,TRUE,11,52320,0,99,0,3,1,0,GOMES,Alice,BRA,01/01/0001,,1,46245,10,0,0,H,940,940,0,,,,,,,,,,
31,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,2,TRUE,11,52320,0,99,0,3,1,0,GOMES,Alice,BRA,01/01/0001,,2,6075,1,0,0,E1,7,3,,,,,,,,,,,
32,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,2,TRUE,11,52320,0,99,0,3,1,0,GOMES,Alice,BRA,01/01/0001,,2,6075,1,0,0,E2,8,2,,,,,,,,,,,
33,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,2,TRUE,11,52320,0,99,0,3,1,0,GOMES,Alice,BRA,01/01/0001,,2,6075,1,0,0,E3,7,3,,,,,,,,,,,
34,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,2,TRUE,11,52320,0,99,0,3,1,0,GOMES,Alice,BRA,01/01/0001,,2,6075,1,0,0,E4,7,3,,,,,,,,,,,
35,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,2,TRUE,11,52320,0,99,0,3,1,0,GOMES,Alice,BRA,01/01/0001,,2,6075,1,0,0,E5,7,3,,,,,,,,,,,
36,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,2,TRUE,11,52320,0,99,0,3,1,0,GOMES,Alice,BRA,01/01/0001,,2,6075,1,0,0,E8,7,3,,,,,,,,,,,
37,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,2,TRUE,11,52320,0,99,0,3,1,0,GOMES,Alice,BRA,01/01/0001,,2,6075,1,0,0,E∑,14,6,0,0,0,0,0,0,0,0,0,0,0
38,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,2,TRUE,11,52320,0,99,0,3,1,0,GOMES,Alice,BRA,01/01/0001,,2,6075,1,0,0,T,1675,,,,,,,,,,,,
39,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,2,TRUE,11,52320,0,99,0,3,1,0,GOMES,Alice,BRA,01/01/0001,,2,6075,1,0,0,D,20,0,,,,,,,,,,,
40,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,2,TRUE,11,52320,0,99,0,3,1,0,GOMES,Alice,BRA,01/01/0001,,2,6075,1,0,0,H,100,100,0,,,,,,,,,,
41,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,3,TRUE,9,88420,0,99,0,12,1,0,ROJO,Alida,VEN,01/01/0001,,1,42050,10,0,0,E1,60,4,2,3,4,3,1,3,2,3,5,10,
42,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,3,TRUE,9,88420,0,99,0,12,1,0,ROJO,Alida,VEN,01/01/0001,,1,42050,10,0,0,E2,59,3,2,3,4,3,2,3,3,4,4,10,
43,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,3,TRUE,9,88420,0,99,0,12,1,0,ROJO,Alida,VEN,01/01/0001,,1,42050,10,0,0,E3,63,4,2,3,3,2,1,2,3,3,4,10,
44,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,3,TRUE,9,88420,0,99,0,12,1,0,ROJO,Alida,VEN,01/01/0001,,1,42050,10,0,0,E4,66,3,1,3,3,2,2,2,2,2,4,10,
45,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,3,TRUE,9,88420,0,99,0,12,1,0,ROJO,Alida,VEN,01/01/0001,,1,42050,10,0,0,E5,64,4,2,2,3,2,1,2,3,3,4,10,
46,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,3,TRUE,9,88420,0,99,0,12,1,0,ROJO,Alida,VEN,01/01/0001,,1,42050,10,0,0,E8,64,3,2,2,3,2,2,3,2,3,4,10,
47,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,3,TRUE,9,88420,0,99,0,12,1,0,ROJO,Alida,VEN,01/01/0001,,1,42050,10,0,0,E∑,126,7,4,6,6,4,3,5,5,6,8,20,0
48,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,3,TRUE,9,88420,0,99,0,12,1,0,ROJO,Alida,VEN,01/01/0001,,1,42050,10,0,0,T,14650,,,,,,,,,,,,
49,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,3,TRUE,9,88420,0,99,0,12,1,0,ROJO,Alida,VEN,01/01/0001,,1,42050,10,0,0,D,54,0,,,,,,,,,,,
50,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,3,TRUE,9,88420,0,99,0,12,1,0,ROJO,Alida,VEN,01/01/0001,,1,42050,10,0,0,H,940,940,0,,,,,,,,,,
51,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,3,TRUE,9,88420,0,99,0,12,1,0,ROJO,Alida,VEN,01/01/0001,,2,46370,10,0,0,E1,68,3,2,3,3,3,4,3,2,3,4,2,
52,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,3,TRUE,9,88420,0,99,0,12,1,0,ROJO,Alida,VEN,01/01/0001,,2,46370,10,0,0,E2,62,4,2,3,4,4,5,3,3,4,4,2,
53,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,3,TRUE,9,88420,0,99,0,12,1,0,ROJO,Alida,VEN,01/01/0001,,2,46370,10,0,0,E3,68,3,2,3,3,3,4,3,2,3,4,2,
54,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,3,TRUE,9,88420,0,99,0,12,1,0,ROJO,Alida,VEN,01/01/0001,,2,46370,10,0,0,E4,71,3,3,3,3,3,3,3,2,2,3,1,
55,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,3,TRUE,9,88420,0,99,0,12,1,0,ROJO,Alida,VEN,01/01/0001,,2,46370,10,0,0,E5,71,3,2,3,3,3,4,2,2,2,3,2,
56,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,3,TRUE,9,88420,0,99,0,12,1,0,ROJO,Alida,VEN,01/01/0001,,2,46370,10,0,0,E8,67,4,3,3,3,3,4,3,2,3,3,2,
57,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,3,TRUE,9,88420,0,99,0,12,1,0,ROJO,Alida,VEN,01/01/0001,,2,46370,10,0,0,E∑,137,6,4,6,6,6,8,6,4,6,7,4,0
58,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,3,TRUE,9,88420,0,99,0,12,1,0,ROJO,Alida,VEN,01/01/0001,,2,46370,10,0,0,T,14270,,,,,,,,,,,,
59,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,3,TRUE,9,88420,0,99,0,12,1,0,ROJO,Alida,VEN,01/01/0001,,2,46370,10,0,0,D,97,0,,,,,,,,,,,
60,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,3,TRUE,9,88420,0,99,0,12,1,0,ROJO,Alida,VEN,01/01/0001,,2,46370,10,0,0,H,870,870,0,,,,,,,,,,
61,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,4,TRUE,4,98905,0,99,0,6,1,0,SMITH,Samantha,CAN,01/01/0001,,1,47110,10,0,0,E1,86,0,1,1,1,1,1,2,2,2,3,0,
62,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,4,TRUE,4,98905,0,99,0,6,1,0,SMITH,Samantha,CAN,01/01/0001,,1,47110,10,0,0,E2,84,0,0,2,1,1,1,2,3,3,3,0,
63,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,4,TRUE,4,98905,0,99,0,6,1,0,SMITH,Samantha,CAN,01/01/0001,,1,47110,10,0,0,E3,86,1,0,1,1,0,1,2,2,3,3,0,
64,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,4,TRUE,4,98905,0,99,0,6,1,0,SMITH,Samantha,CAN,01/01/0001,,1,47110,10,0,0,E4,90,0,0,0,0,0,0,3,2,2,3,0,
65,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,4,TRUE,4,98905,0,99,0,6,1,0,SMITH,Samantha,CAN,01/01/0001,,1,47110,10,0,0,E5,87,0,0,1,1,1,0,2,2,3,3,0,
66,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,4,TRUE,4,98905,0,99,0,6,1,0,SMITH,Samantha,CAN,01/01/0001,,1,47110,10,0,0,E8,88,0,0,1,0,1,0,2,2,3,3,0,
67,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,4,TRUE,4,98905,0,99,0,6,1,0,SMITH,Samantha,CAN,01/01/0001,,1,47110,10,0,0,E∑,173,0,0,2,2,2,1,4,4,6,6,0,0
68,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,4,TRUE,4,98905,0,99,0,6,1,0,SMITH,Samantha,CAN,01/01/0001,,1,47110,10,0,0,T,15810,,,,,,,,,,,,
69,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,4,TRUE,4,98905,0,99,0,6,1,0,SMITH,Samantha,CAN,01/01/0001,,1,47110,10,0,0,D,56,0,,,,,,,,,,,
70,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,4,TRUE,4,98905,0,99,0,6,1,0,SMITH,Samantha,CAN,01/01/0001,,1,47110,10,0,0,H,840,840,0,,,,,,,,,,
71,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,4,TRUE,4,98905,0,99,0,6,1,0,SMITH,Samantha,CAN,01/01/0001,,2,51795,10,0,0,E1,74,2,2,2,3,2,2,3,3,4,3,0,
72,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,4,TRUE,4,98905,0,99,0,6,1,0,SMITH,Samantha,CAN,01/01/0001,,2,51795,10,0,0,E2,67,2,2,3,4,2,3,4,5,5,3,0,
73,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,4,TRUE,4,98905,0,99,0,6,1,0,SMITH,Samantha,CAN,01/01/0001,,2,51795,10,0,0,E3,72,3,2,3,3,2,2,3,3,4,3,0,
74,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,4,TRUE,4,98905,0,99,0,6,1,0,SMITH,Samantha,CAN,01/01/0001,,2,51795,10,0,0,E4,74,3,2,2,3,2,2,3,3,3,3,0,
75,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,4,TRUE,4,98905,0,99,0,6,1,0,SMITH,Samantha,CAN,01/01/0001,,2,51795,10,0,0,E5,77,2,2,2,3,2,1,2,3,3,3,0,
76,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,4,TRUE,4,98905,0,99,0,6,1,0,SMITH,Samantha,CAN,01/01/0001,,2,51795,10,0,0,E8,75,2,2,2,2,2,2,3,3,4,3,0,
77,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,4,TRUE,4,98905,0,99,0,6,1,0,SMITH,Samantha,CAN,01/01/0001,,2,51795,10,0,0,E∑,148,4,4,4,6,4,4,6,6,8,6,0,0
78,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,4,TRUE,4,98905,0,99,0,6,1,0,SMITH,Samantha,CAN,01/01/0001,,2,51795,10,0,0,T,14695,,,,,,,,,,,,
79,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,4,TRUE,4,98905,0,99,0,6,1,0,SMITH,Samantha,CAN,01/01/0001,,2,51795,10,0,0,D,140,0,,,,,,,,,,,
